id,primary,yearpublished,minplayers,maxplayers,playingtime,minage,owned,trading,wanting,wishing,average,bayes_average,users_rated,is_popular
22724,Zombie Rally,2005,2,6,15,12,81,4,1,16,5.47,5.497,52,0
191923,Roadkill,2017,2,5,30,7,168,8,3,26,6.01,5.516,52,0
210966,Quadrum,2017,2,2,10,6,139,4,0,3,6.32,5.516,52,0
3229,"The Game of Medici: Arms, Loves and Betrayals in XVth Century Europe",1982,4,6,180,13,137,5,4,10,6.7,5.529,52,1
103327,Água: The Water Cycle,2011,3,6,40,7,66,7,4,13,4.56,5.47,52,0
4016,"""Scratch One Flat Top!""",1995,2,4,180,12,290,24,23,34,7.42,5.553,52,1
3620,TrainSport: Austria,1996,3,5,90,12,145,5,15,15,6.2,5.519,52,0
21529,Poker Tiles Game,2005,2,4,30,9,178,8,1,4,4.83,5.48,52,0
257445,Super Camelot,2019,2,4,45,13,177,8,4,31,6.42,5.523,52,0
784,Discretion,1978,2,8,120,13,76,4,18,22,6.62,5.532,52,1
255955,The Damsel's Tale,2020,2,3,25,13,155,4,2,22,6.98,5.536,52,1
289720,Igen? És...,2019,2,6,45,10,99,0,0,12,5.86,5.505,52,0
14012,Boing!,1996,2,4,5,5,58,0,11,20,6.41,5.528,52,0
228724,Dead Throne: World of Veles – Deluxe Edition,2019,1,7,90,14,236,15,16,72,6.87,5.522,52,1
32150,Ambush Alley! A Game of Modern Urban Combat,2007,1,2,60,0,121,1,8,39,7.84,5.56,52,1
44125,Ogre Castle,2009,3,4,60,10,67,4,4,35,6.74,5.53,52,1
192696,Orphans & Ashes,2016,2,2,45,13,219,12,1,15,5.66,5.497,52,0
17313,Auf Zack!!,2003,2,5,20,5,66,2,0,3,5.85,5.502,52,0
3552,Infinity,1974,2,4,60,10,154,10,24,47,6.03,5.514,52,0
10811,"Piraten, Planken & Peseten",2004,2,4,45,8,102,5,6,12,5.37,5.497,52,0
38464,Crash by Crash,2008,2,4,30,8,86,9,1,5,5.37,5.494,52,0
8097,Ten Commandments Bible Game,1960,2,6,150,6,119,4,2,12,4.71,5.471,52,0
15109,Tegn og gæt,0,4,12,0,8,92,1,0,0,5.51,5.498,52,0
232351,Master of Orion: Conquest,2017,2,2,45,13,180,12,3,33,4.85,5.478,52,0
